"","Class","case","fraction_total_reads","group","sex","sample"
"1462","Actinomycetia","26.unmapped",4.97e-05,"control","fem","exo"
"1463","Actinomycetia","21.unmapped",5.22e-05,"malt","male","exo"
"1464","Actinomycetia","24.unmapped",5.91e-05,"control","fem","exo"
"1465","Actinomycetia","21.unmapped",0.000168703,"malt","male","exo"
"1466","Actinomycetia","27.unmapped",4.71e-05,"malt","fem","exo"
"1467","Actinomycetia","18.unmapped",4.11e-05,"control","male","exo"
"1468","Actinomycetia","20.unmapped",8.31e-05,"control","male","exo"
"1469","Actinomycetia","23.unmapped",4.28e-05,"malt","male","exo"
"1470","Actinomycetia","17.unmapped",8.82e-05,"control","male","exo"
"1471","Actinomycetia","25.unmapped",4.37e-05,"control","fem","exo"
"1472","Actinomycetia","26.unmapped",0.000137874,"control","fem","exo"
"1473","Actinomycetia","25.unmapped",4.37e-05,"control","fem","exo"
"1474","Actinomycetia","21.unmapped",6.34e-05,"malt","male","exo"
"1475","Actinomycetia","20.unmapped",7.19e-05,"control","male","exo"
"1476","Actinomycetia","26.unmapped",9.16e-05,"control","fem","exo"
"1477","Flavobacteriia","22.unmapped",8.22e-05,"malt","male","exo"
"1478","Flavobacteriia","18.unmapped",0.000160139,"control","male","exo"
"1479","Flavobacteriia","20.unmapped",0.000158427,"control","male","exo"
"1480","Flavobacteriia","21.unmapped",0.000248345,"malt","male","exo"
"1481","Flavobacteriia","27.unmapped",8.05e-05,"malt","fem","exo"
"1482","Flavobacteriia","17.unmapped",0.00015072,"control","male","exo"
"1483","Flavobacteriia","19.unmapped",0.000144725,"control","male","exo"
"1484","Flavobacteriia","25.unmapped",0.000120747,"control","fem","exo"
"1485","Flavobacteriia","28.unmapped",0.000199532,"malt","fem","exo"
"1486","Flavobacteriia","26.unmapped",0.000273179,"control","fem","exo"
"1487","Flavobacteriia","23.unmapped",6.94e-05,"malt","male","exo"
"1488","Flavobacteriia","29.unmapped",0.000139587,"malt","fem","exo"
"1489","Flavobacteriia","24.unmapped",0.000199532,"control","fem","exo"
"1490","Bacilli","26.unmapped",8.48e-05,"control","fem","exo"
"1491","Bacilli","21.unmapped",8.22e-05,"malt","male","exo"
"1492","Bacilli","28.unmapped",8.22e-05,"malt","fem","exo"
"1493","Bacilli","24.unmapped",6.08e-05,"control","fem","exo"
"1494",NA,NA,NA,NA,NA,"exo"
"1495",NA,NA,NA,NA,NA,"exo"
"1496",NA,NA,NA,NA,NA,"exo"
"1497",NA,NA,NA,NA,NA,"exo"
"1498",NA,NA,NA,NA,NA,"exo"
"1499",NA,NA,NA,NA,NA,"exo"
"1500","Bacilli","18.unmapped",5.48e-05,"control","male","exo"
"1501","Bacilli","28.unmapped",4.45e-05,"malt","fem","exo"
"1502","Bacilli","19.unmapped",7.79e-05,"control","male","exo"
"1503","Bacilli","17.unmapped",5.74e-05,"control","male","exo"
"1504","Bacilli","25.unmapped",4.11e-05,"control","fem","exo"
"1505","Opitutae","28.unmapped",7.79e-05,"malt","fem","exo"
"1506","Opitutae","27.unmapped",4.37e-05,"malt","fem","exo"
"1507","Opitutae","19.unmapped",6.85e-05,"control","male","exo"
"1508","Opitutae","29.unmapped",8.65e-05,"malt","fem","exo"
"1509","Opitutae","18.unmapped",8.48e-05,"control","male","exo"
"1510","Opitutae","17.unmapped",0.000101907,"control","male","exo"
"1511","Opitutae","22.unmapped",9.08e-05,"malt","male","exo"
"1512","Actinomycetia","21.unmapped",0.000100194,"malt","male","exo"
"1513","Actinomycetia","24.unmapped",9.16e-05,"control","fem","exo"
"1514","Actinomycetia","26.unmapped",8.73e-05,"control","fem","exo"
"1515","Cytophagia","17.unmapped",4.88e-05,"control","male","exo"
"1516","Cytophagia","28.unmapped",4.45e-05,"malt","fem","exo"
"1517","Cytophagia","18.unmapped",4.37e-05,"control","male","exo"
"1518","Cytophagia","29.unmapped",9.59e-05,"malt","fem","exo"
"1519","Cytophagia","22.unmapped",6.59e-05,"malt","male","exo"
"1520","Gammaproteobacteria","18.unmapped",8.14e-05,"control","male","exo"
"1521","Gammaproteobacteria","28.unmapped",9.85e-05,"malt","fem","exo"
"1522","Gammaproteobacteria","22.unmapped",7.19e-05,"malt","male","exo"
"1523","Gammaproteobacteria","24.unmapped",8.73e-05,"control","fem","exo"
"1524","Gammaproteobacteria","27.unmapped",0.000228648,"malt","fem","exo"
"1525","Gammaproteobacteria","25.unmapped",0.000208952,"control","fem","exo"
"1526","Gammaproteobacteria","26.unmapped",6.68e-05,"control","fem","exo"
"1527","Gammaproteobacteria","29.unmapped",0.000220085,"malt","fem","exo"
"1528","Gammaproteobacteria","19.unmapped",0.000177267,"control","male","exo"
"1529","Gammaproteobacteria","17.unmapped",0.000116465,"control","male","exo"
"1530","Gammaproteobacteria","21.unmapped",8.56e-05,"malt","male","exo"
"1531","Gammaproteobacteria","20.unmapped",7.71e-05,"control","male","exo"
"1532","Gammaproteobacteria","29.unmapped",4.28e-05,"malt","fem","exo"
"1533","Betaproteobacteria","21.unmapped",0.000274892,"malt","male","exo"
"1534","Betaproteobacteria","27.unmapped",0.000345113,"malt","fem","exo"
"1535","Betaproteobacteria","29.unmapped",0.000523236,"malt","fem","exo"
"1536","Betaproteobacteria","19.unmapped",0.000530087,"control","male","exo"
"1537","Betaproteobacteria","22.unmapped",0.000534369,"malt","male","exo"
"1538","Betaproteobacteria","23.unmapped",0.000209808,"malt","male","exo"
"1539","Betaproteobacteria","18.unmapped",0.000704785,"control","male","exo"
"1540","Betaproteobacteria","28.unmapped",0.000570336,"malt","fem","exo"
"1541","Betaproteobacteria","20.unmapped",0.000174698,"control","male","exo"
"1542","Betaproteobacteria","26.unmapped",0.000304008,"control","fem","exo"
"1543","Betaproteobacteria","25.unmapped",0.000164421,"control","fem","exo"
"1544","Betaproteobacteria","17.unmapped",0.000599453,"control","male","exo"
"1545","Betaproteobacteria","24.unmapped",0.000190112,"control","fem","exo"
"1546","Fusobacteriia","21.unmapped",4.45e-05,"malt","male","exo"
"1547","Fusobacteriia","26.unmapped",5.99e-05,"control","fem","exo"
"1548","Fusobacteriia","26.unmapped",0.000114752,"control","fem","exo"
"1549","Fusobacteriia","21.unmapped",4.62e-05,"malt","male","exo"
"1550","Betaproteobacteria","17.unmapped",0.000169559,"control","male","exo"
"1551","Betaproteobacteria","21.unmapped",0.000483844,"malt","male","exo"
"1552","Betaproteobacteria","27.unmapped",7.88e-05,"malt","fem","exo"
"1553","Betaproteobacteria","25.unmapped",0.000537795,"control","fem","exo"
"1554","Betaproteobacteria","28.unmapped",0.000144725,"malt","fem","exo"
"1555","Betaproteobacteria","18.unmapped",0.000108758,"control","male","exo"
"1556","Betaproteobacteria","23.unmapped",5.65e-05,"malt","male","exo"
"1557","Betaproteobacteria","19.unmapped",0.000130167,"control","male","exo"
"1558","Betaproteobacteria","22.unmapped",0.000131023,"malt","male","exo"
"1559","Betaproteobacteria","20.unmapped",0.000517242,"control","male","exo"
"1560","Betaproteobacteria","29.unmapped",0.000114752,"malt","fem","exo"
"1561","Betaproteobacteria","24.unmapped",0.000564342,"control","fem","exo"
"1562","Betaproteobacteria","26.unmapped",0.000670531,"control","fem","exo"
"1563","Betaproteobacteria","19.unmapped",0.000107901,"control","male","exo"
"1564","Betaproteobacteria","27.unmapped",0.000119034,"malt","fem","exo"
"1565","Betaproteobacteria","21.unmapped",0.000579756,"malt","male","exo"
"1566","Betaproteobacteria","24.unmapped",0.000665392,"control","fem","exo"
"1567","Betaproteobacteria","22.unmapped",0.000149007,"malt","male","exo"
"1568","Betaproteobacteria","17.unmapped",0.000208952,"control","male","exo"
"1569","Betaproteobacteria","18.unmapped",0.000180692,"control","male","exo"
"1570","Betaproteobacteria","29.unmapped",0.000144725,"malt","fem","exo"
"1571","Betaproteobacteria","26.unmapped",0.000858074,"control","fem","exo"
"1572","Betaproteobacteria","25.unmapped",0.000679951,"control","fem","exo"
"1573","Betaproteobacteria","20.unmapped",0.00059774,"control","male","exo"
"1574","Betaproteobacteria","23.unmapped",5.4e-05,"malt","male","exo"
"1575","Betaproteobacteria","28.unmapped",0.000187543,"malt","fem","exo"
"1576","Bacilli","21.unmapped",4.2e-05,"malt","male","exo"
"1577","Bacilli","26.unmapped",4.71e-05,"control","fem","exo"
"1578","Bacilli","17.unmapped",5.48e-05,"control","male","exo"
"1579","Vicinamibacteria","29.unmapped",0.00030829,"malt","fem","exo"
"1580","Vicinamibacteria","26.unmapped",5.4e-05,"control","fem","exo"
"1581","Vicinamibacteria","17.unmapped",0.000234643,"control","male","exo"
"1582","Vicinamibacteria","20.unmapped",5.4e-05,"control","male","exo"
"1583","Vicinamibacteria","21.unmapped",5.4e-05,"malt","male","exo"
"1584","Vicinamibacteria","25.unmapped",8.82e-05,"control","fem","exo"
"1585","Vicinamibacteria","27.unmapped",0.000109614,"malt","fem","exo"
"1586","Vicinamibacteria","19.unmapped",0.0001413,"control","male","exo"
"1587","Vicinamibacteria","28.unmapped",0.000292019,"malt","fem","exo"
"1588","Vicinamibacteria","24.unmapped",7.11e-05,"control","fem","exo"
"1589","Vicinamibacteria","22.unmapped",0.000263759,"malt","male","exo"
"1590","Vicinamibacteria","23.unmapped",4.71e-05,"malt","male","exo"
"1591","Vicinamibacteria","18.unmapped",0.000266328,"control","male","exo"
"1592","Flavobacteriia","27.unmapped",5.65e-05,"malt","fem","exo"
"1593","Bacilli","17.unmapped",4.97e-05,"control","male","exo"
"1594","Cytophagia","27.unmapped",4.54e-05,"malt","fem","exo"
"1595","Betaproteobacteria","20.unmapped",0.000133592,"control","male","exo"
"1596","Betaproteobacteria","18.unmapped",4.71e-05,"control","male","exo"
"1597","Betaproteobacteria","29.unmapped",6.94e-05,"malt","fem","exo"
"1598","Betaproteobacteria","19.unmapped",5.82e-05,"control","male","exo"
"1599","Betaproteobacteria","28.unmapped",5.48e-05,"malt","fem","exo"
"1600","Betaproteobacteria","17.unmapped",7.45e-05,"control","male","exo"
"1601","Betaproteobacteria","22.unmapped",6.77e-05,"malt","male","exo"
"1602","Betaproteobacteria","27.unmapped",9.08e-05,"malt","fem","exo"
"1603","Betaproteobacteria","20.unmapped",5.14e-05,"control","male","exo"
"1604","Betaproteobacteria","27.unmapped",4.37e-05,"malt","fem","exo"
"1605","Betaproteobacteria","24.unmapped",6.77e-05,"control","fem","exo"
"1606","Betaproteobacteria","28.unmapped",8.99e-05,"malt","fem","exo"
"1607","Betaproteobacteria","22.unmapped",5.91e-05,"malt","male","exo"
"1608","Betaproteobacteria","19.unmapped",9.59e-05,"control","male","exo"
"1609","Betaproteobacteria","29.unmapped",8.73e-05,"malt","fem","exo"
"1610","Betaproteobacteria","17.unmapped",9.51e-05,"control","male","exo"
"1611","Betaproteobacteria","18.unmapped",8.91e-05,"control","male","exo"
"1612","Betaproteobacteria","20.unmapped",4.45e-05,"control","male","exo"
"1613","Betaproteobacteria","23.unmapped",4.54e-05,"malt","male","exo"
"1614","Betaproteobacteria","17.unmapped",5.48e-05,"control","male","exo"
"1615","Betaproteobacteria","18.unmapped",8.14e-05,"control","male","exo"
"1616","Betaproteobacteria","28.unmapped",4.8e-05,"malt","fem","exo"
"1617","Betaproteobacteria","29.unmapped",5.05e-05,"malt","fem","exo"
"1618","Betaproteobacteria","26.unmapped",5.31e-05,"control","fem","exo"
"1619","Betaproteobacteria","20.unmapped",5.05e-05,"control","male","exo"
"1620","Betaproteobacteria","19.unmapped",6.77e-05,"control","male","exo"
"1621","Betaproteobacteria","17.unmapped",4.2e-05,"control","male","exo"
"1622","Betaproteobacteria","21.unmapped",5.57e-05,"malt","male","exo"
"1623","Betaproteobacteria","21.unmapped",4.37e-05,"malt","male","exo"
"1624","Betaproteobacteria","27.unmapped",6.94e-05,"malt","fem","exo"
"1625","Betaproteobacteria","22.unmapped",4.2e-05,"malt","male","exo"
"1626","Betaproteobacteria","26.unmapped",0.00014815,"control","fem","exo"
"1627","Betaproteobacteria","23.unmapped",7.54e-05,"malt","male","exo"
"1628","Betaproteobacteria","24.unmapped",0.000121603,"control","fem","exo"
"1629","Betaproteobacteria","27.unmapped",0.000123316,"malt","fem","exo"
"1630","Betaproteobacteria","20.unmapped",0.000124172,"control","male","exo"
"1631","Betaproteobacteria","21.unmapped",0.000220085,"malt","male","exo"
"1632","Betaproteobacteria","29.unmapped",0.000230361,"malt","fem","exo"
"1633","Betaproteobacteria","19.unmapped",0.00023293,"control","male","exo"
"1634","Betaproteobacteria","28.unmapped",0.000252626,"malt","fem","exo"
"1635","Betaproteobacteria","22.unmapped",0.000215803,"malt","male","exo"
"1636","Betaproteobacteria","17.unmapped",0.000397351,"control","male","exo"
"1637","Betaproteobacteria","18.unmapped",0.000247488,"control","male","exo"
"1638","Betaproteobacteria","25.unmapped",0.000119034,"control","fem","exo"
"1639","Negativicutes","20.unmapped",4.11e-05,"control","male","exo"
"1640","Negativicutes","22.unmapped",4.37e-05,"malt","male","exo"
"1641","Negativicutes","26.unmapped",8.56e-05,"control","fem","exo"
"1642","Negativicutes","21.unmapped",0.00011304,"malt","male","exo"
"1643","Betaproteobacteria","18.unmapped",6.34e-05,"control","male","exo"
"1644","Betaproteobacteria","19.unmapped",0.00011304,"control","male","exo"
"1645","Betaproteobacteria","27.unmapped",9.93e-05,"malt","fem","exo"
"1646","Betaproteobacteria","18.unmapped",0.000101051,"control","male","exo"
"1647","Betaproteobacteria","28.unmapped",0.000149007,"malt","fem","exo"
"1648","Betaproteobacteria","22.unmapped",0.000107901,"malt","male","exo"
"1649","Betaproteobacteria","21.unmapped",4.54e-05,"malt","male","exo"
"1650","Betaproteobacteria","29.unmapped",9.59e-05,"malt","fem","exo"
"1651","Betaproteobacteria","24.unmapped",5.99e-05,"control","fem","exo"
"1652","Betaproteobacteria","20.unmapped",8.14e-05,"control","male","exo"
"1653","Betaproteobacteria","17.unmapped",0.000102763,"control","male","exo"
"1654","Betaproteobacteria","25.unmapped",0.000137018,"control","fem","exo"
"1655","Betaproteobacteria","23.unmapped",0.000211521,"malt","male","exo"
"1656","Betaproteobacteria","26.unmapped",6.77e-05,"control","fem","exo"
"1657","Ignavibacteria","29.unmapped",4.8e-05,"malt","fem","exo"
"1658","Ignavibacteria","28.unmapped",4.45e-05,"malt","fem","exo"
"1659","Betaproteobacteria","23.unmapped",7.79e-05,"malt","male","exo"
"1660","Betaproteobacteria","26.unmapped",0.000351108,"control","fem","exo"
"1661","Betaproteobacteria","24.unmapped",0.000323704,"control","fem","exo"
"1662","Betaproteobacteria","29.unmapped",0.000168703,"malt","fem","exo"
"1663","Betaproteobacteria","20.unmapped",0.000111327,"control","male","exo"
"1664","Betaproteobacteria","27.unmapped",0.000200388,"malt","fem","exo"
"1665","Betaproteobacteria","21.unmapped",0.000200388,"malt","male","exo"
"1666","Betaproteobacteria","22.unmapped",0.000209808,"malt","male","exo"
"1667","Betaproteobacteria","19.unmapped",0.00015757,"control","male","exo"
"1668","Betaproteobacteria","28.unmapped",0.000164421,"malt","fem","exo"
"1669","Betaproteobacteria","18.unmapped",0.000210665,"control","male","exo"
"1670","Betaproteobacteria","17.unmapped",0.000168703,"control","male","exo"
"1671","Betaproteobacteria","25.unmapped",0.000669674,"control","fem","exo"
"1672","Alphaproteobacteria","26.unmapped",4.45e-05,"control","fem","exo"
"1673","Alphaproteobacteria","21.unmapped",4.37e-05,"malt","male","exo"
"1674","Alphaproteobacteria","26.unmapped",4.97e-05,"control","fem","exo"
"1675","Alphaproteobacteria","25.unmapped",5.14e-05,"control","fem","exo"
"1676","Alphaproteobacteria","25.unmapped",4.11e-05,"control","fem","exo"
"1677","Alphaproteobacteria","25.unmapped",4.8e-05,"control","fem","exo"
"1678","Alphaproteobacteria","26.unmapped",7.19e-05,"control","fem","exo"
"1679","Alphaproteobacteria","26.unmapped",7.11e-05,"control","fem","exo"
"1680","Alphaproteobacteria","20.unmapped",0.00011304,"control","male","exo"
"1681","Alphaproteobacteria","24.unmapped",6.17e-05,"control","fem","exo"
"1682","Alphaproteobacteria","21.unmapped",8.05e-05,"malt","male","exo"
"1683","Alphaproteobacteria","21.unmapped",0.00013873,"malt","male","exo"
"1684","Alphaproteobacteria","25.unmapped",0.00025177,"control","fem","exo"
"1685","Alphaproteobacteria","26.unmapped",0.000277461,"control","fem","exo"
"1686","Alphaproteobacteria","24.unmapped",0.000202101,"control","fem","exo"
"1687","Alphaproteobacteria","20.unmapped",0.000107901,"control","male","exo"
"1688","Gammaproteobacteria","28.unmapped",6.59e-05,"malt","fem","exo"
"1689","Gammaproteobacteria","17.unmapped",5.31e-05,"control","male","exo"
"1690","Gammaproteobacteria","19.unmapped",4.37e-05,"control","male","exo"
"1691","Gammaproteobacteria","19.unmapped",4.11e-05,"control","male","exo"
"1692","Gammaproteobacteria","17.unmapped",4.71e-05,"control","male","exo"
"1693","Gammaproteobacteria","28.unmapped",4.54e-05,"malt","fem","exo"
"1694","Betaproteobacteria","21.unmapped",0.000230361,"malt","male","exo"
"1695","Betaproteobacteria","20.unmapped",0.000208096,"control","male","exo"
"1696","Betaproteobacteria","25.unmapped",0.000196107,"control","fem","exo"
"1697","Betaproteobacteria","24.unmapped",0.000247488,"control","fem","exo"
"1698","Betaproteobacteria","26.unmapped",0.000297157,"control","fem","exo"
"1699","Alphaproteobacteria","20.unmapped",0.000404202,"control","male","exo"
"1700","Betaproteobacteria","27.unmapped",4.71e-05,"malt","fem","exo"
"1701","Betaproteobacteria","24.unmapped",9.76e-05,"control","fem","exo"
"1702","Betaproteobacteria","21.unmapped",9.16e-05,"malt","male","exo"
"1703","Betaproteobacteria","26.unmapped",9.68e-05,"control","fem","exo"
"1704","Betaproteobacteria","25.unmapped",9.16e-05,"control","fem","exo"
"1705","Betaproteobacteria","20.unmapped",7.71e-05,"control","male","exo"
"1706","Betaproteobacteria","17.unmapped",4.97e-05,"control","male","exo"
"1707","Betaproteobacteria","18.unmapped",6.17e-05,"control","male","exo"
"1708","Betaproteobacteria","24.unmapped",4.54e-05,"control","fem","exo"
"1709","Betaproteobacteria","29.unmapped",4.62e-05,"malt","fem","exo"
"1710","Betaproteobacteria","28.unmapped",4.54e-05,"malt","fem","exo"
"1711","Betaproteobacteria","26.unmapped",6.59e-05,"control","fem","exo"
"1712","Actinomycetia","26.unmapped",5.22e-05,"control","fem","exo"
"1713","Actinomycetia","21.unmapped",0.000100194,"malt","male","exo"
"1714","Actinomycetia","24.unmapped",9.51e-05,"control","fem","exo"
"1715","Actinomycetia","27.unmapped",4.54e-05,"malt","fem","exo"
"1716","Actinomycetia","23.unmapped",4.97e-05,"malt","male","exo"
"1717","Actinomycetia","20.unmapped",8.14e-05,"control","male","exo"
"1718","Actinomycetia","26.unmapped",5.57e-05,"control","fem","exo"
"1719","Actinomycetia","20.unmapped",5.05e-05,"control","male","exo"
"1720","Actinomycetia","27.unmapped",0.000114752,"malt","fem","exo"
"1721","Actinomycetia","19.unmapped",4.88e-05,"control","male","exo"
"1722","Actinomycetia","25.unmapped",0.000184974,"control","fem","exo"
"1723","Actinomycetia","17.unmapped",4.2e-05,"control","male","exo"
"1724","Actinomycetia","21.unmapped",5.99e-05,"malt","male","exo"
"1725","Actinomycetia","27.unmapped",6.17e-05,"malt","fem","exo"
"1726","Actinomycetia","26.unmapped",4.45e-05,"control","fem","exo"
"1727","Actinomycetia","20.unmapped",0.000316854,"control","male","exo"
"1728","Actinomycetia","23.unmapped",4.8e-05,"malt","male","exo"
"1729","Actinomycetia","22.unmapped",0.000189256,"malt","male","exo"
"1730","Actinomycetia","19.unmapped",0.000142156,"control","male","exo"
"1731","Actinomycetia","24.unmapped",0.00065426,"control","fem","exo"
"1732","Actinomycetia","21.unmapped",0.000884621,"malt","male","exo"
"1733","Actinomycetia","27.unmapped",0.000551496,"malt","fem","exo"
"1734","Actinomycetia","18.unmapped",7.88e-05,"control","male","exo"
"1735","Actinomycetia","25.unmapped",0.000147294,"control","fem","exo"
"1736","Actinomycetia","26.unmapped",0.000589176,"control","fem","exo"
"1737","Actinomycetia","28.unmapped",0.000162709,"malt","fem","exo"
"1738","Actinomycetia","17.unmapped",0.000156714,"control","male","exo"
"1739","Alphaproteobacteria","17.unmapped",4.11e-05,"control","male","exo"
"1740","Betaproteobacteria","28.unmapped",0.00040249,"malt","fem","exo"
"1741","Betaproteobacteria","24.unmapped",0.000184118,"control","fem","exo"
"1742","Betaproteobacteria","17.unmapped",0.00034597,"control","male","exo"
"1743","Betaproteobacteria","27.unmapped",0.000253483,"malt","fem","exo"
"1744","Betaproteobacteria","23.unmapped",0.000139587,"malt","male","exo"
"1745","Betaproteobacteria","20.unmapped",0.000125029,"control","male","exo"
"1746","Betaproteobacteria","21.unmapped",0.000202958,"malt","male","exo"
"1747","Betaproteobacteria","29.unmapped",0.000412766,"malt","fem","exo"
"1748","Betaproteobacteria","19.unmapped",0.000359672,"control","male","exo"
"1749","Betaproteobacteria","22.unmapped",0.000382793,"malt","male","exo"
"1750","Betaproteobacteria","18.unmapped",0.000596884,"control","male","exo"
"1751","Betaproteobacteria","26.unmapped",0.000249201,"control","fem","exo"
"1752","Betaproteobacteria","25.unmapped",0.000228648,"control","fem","exo"
"1753","Actinomycetia","27.unmapped",8.39e-05,"malt","fem","exo"
"1754","Gammaproteobacteria","24.unmapped",5.22e-05,"control","fem","exo"
"1755","Gammaproteobacteria","28.unmapped",0.000217516,"malt","fem","exo"
"1756","Gammaproteobacteria","20.unmapped",0.000237212,"control","male","exo"
"1757","Gammaproteobacteria","17.unmapped",0.000224367,"control","male","exo"
"1758","Gammaproteobacteria","26.unmapped",0.000290306,"control","fem","exo"
"1759","Gammaproteobacteria","19.unmapped",0.000266328,"control","male","exo"
"1760","Gammaproteobacteria","29.unmapped",0.00015757,"malt","fem","exo"
"1761","Gammaproteobacteria","27.unmapped",0.000198676,"malt","fem","exo"
"1762","Gammaproteobacteria","23.unmapped",9.16e-05,"malt","male","exo"
"1763","Gammaproteobacteria","21.unmapped",0.000345113,"malt","male","exo"
"1764","Gammaproteobacteria","25.unmapped",0.000100194,"control","fem","exo"
"1765","Gammaproteobacteria","24.unmapped",0.000429037,"control","fem","exo"
"1766","Gammaproteobacteria","18.unmapped",0.000128454,"control","male","exo"
"1767","Gammaproteobacteria","22.unmapped",9.16e-05,"malt","male","exo"
"1768","Gammaproteobacteria","17.unmapped",0.000158427,"control","male","exo"
"1769","Gammaproteobacteria","28.unmapped",0.000162709,"malt","fem","exo"
"1770","Gammaproteobacteria","18.unmapped",0.000145581,"control","male","exo"
"1771","Gammaproteobacteria","19.unmapped",0.000200388,"control","male","exo"
"1772","Gammaproteobacteria","23.unmapped",4.8e-05,"malt","male","exo"
"1773","Gammaproteobacteria","27.unmapped",7.45e-05,"malt","fem","exo"
"1774","Gammaproteobacteria","26.unmapped",5.14e-05,"control","fem","exo"
"1775","Gammaproteobacteria","22.unmapped",0.000151576,"malt","male","exo"
"1776","Gammaproteobacteria","24.unmapped",4.28e-05,"control","fem","exo"
"1777","Gammaproteobacteria","29.unmapped",0.000161852,"malt","fem","exo"
"1778","Gammaproteobacteria","26.unmapped",6.34e-05,"control","fem","exo"
"1779","Gammaproteobacteria","21.unmapped",0.000107045,"malt","male","exo"
"1780","Sphingobacteriia","28.unmapped",4.28e-05,"malt","fem","exo"
"1781","Revtraviricetes","27.unmapped",5.74e-05,"malt","fem","exo"
"1782","Revtraviricetes","23.unmapped",0.000210665,"malt","male","exo"
"1783","Revtraviricetes","27.unmapped",0.000177267,"malt","fem","exo"
"1784","Actinomycetia","21.unmapped",5.57e-05,"malt","male","exo"
"1785","Actinomycetia","17.unmapped",9.25e-05,"control","male","exo"
"1786","Actinomycetia","18.unmapped",8.39e-05,"control","male","exo"
"1787","Actinomycetia","26.unmapped",0.000247488,"control","fem","exo"
"1788","Actinomycetia","21.unmapped",0.000439313,"malt","male","exo"
"1789","Actinomycetia","22.unmapped",0.000130167,"malt","male","exo"
"1790","Actinomycetia","19.unmapped",5.31e-05,"control","male","exo"
"1791","Actinomycetia","24.unmapped",0.000271466,"control","fem","exo"
"1792","Actinomycetia","28.unmapped",0.000139587,"malt","fem","exo"
"1793","Actinomycetia","20.unmapped",8.48e-05,"control","male","exo"
"1794","Actinomycetia","27.unmapped",0.000163565,"malt","fem","exo"
"1795","Actinomycetia","29.unmapped",6.42e-05,"malt","fem","exo"
"1796",NA,NA,NA,NA,NA,"exo"
"1797",NA,NA,NA,NA,NA,"exo"
"1798",NA,NA,NA,NA,NA,"exo"
"1799",NA,NA,NA,NA,NA,"exo"
"1800",NA,NA,NA,NA,NA,"exo"
"1801","Mollicutes","29.unmapped",4.8e-05,"malt","fem","exo"
"1802","Mollicutes","22.unmapped",6.51e-05,"malt","male","exo"
"1803",NA,NA,NA,NA,NA,"exo"
"1804",NA,NA,NA,NA,NA,"exo"
"1805","Deltaproteobacteria","24.unmapped",0.000161852,"control","fem","exo"
"1806","Betaproteobacteria","26.unmapped",7.71e-05,"control","fem","exo"
"1807","Betaproteobacteria","28.unmapped",0.000139587,"malt","fem","exo"
"1808","Betaproteobacteria","25.unmapped",0.000119034,"control","fem","exo"
"1809","Betaproteobacteria","26.unmapped",0.000268041,"control","fem","exo"
"1810","Betaproteobacteria","24.unmapped",0.00102592,"control","fem","exo"
"1811","Betaproteobacteria","17.unmapped",7.11e-05,"control","male","exo"
"1812","Betaproteobacteria","18.unmapped",0.000182405,"control","male","exo"
"1813","Betaproteobacteria","29.unmapped",0.000178979,"malt","fem","exo"
"1814","Betaproteobacteria","27.unmapped",7.79e-05,"malt","fem","exo"
"1815","Betaproteobacteria","20.unmapped",0.000173841,"control","male","exo"
"1816","Betaproteobacteria","22.unmapped",0.000369092,"malt","male","exo"
"1817","Betaproteobacteria","21.unmapped",0.001199762,"malt","male","exo"
"1818","Betaproteobacteria","19.unmapped",0.00015072,"control","male","exo"
"1819","Betaproteobacteria","26.unmapped",0.00015072,"control","fem","exo"
"1820","Betaproteobacteria","25.unmapped",0.000143012,"control","fem","exo"
"1821","Betaproteobacteria","19.unmapped",4.45e-05,"control","male","exo"
"1822","Betaproteobacteria","17.unmapped",4.8e-05,"control","male","exo"
"1823","Betaproteobacteria","24.unmapped",0.000165278,"control","fem","exo"
"1824","Betaproteobacteria","28.unmapped",9.68e-05,"malt","fem","exo"
"1825","Betaproteobacteria","20.unmapped",0.000162709,"control","male","exo"
"1826","Betaproteobacteria","21.unmapped",0.000137018,"malt","male","exo"
"1827","Betaproteobacteria","18.unmapped",8.65e-05,"control","male","exo"
"1828","Chitinophagia","17.unmapped",4.71e-05,"control","male","exo"
"1829","Chitinophagia","22.unmapped",5.14e-05,"malt","male","exo"
"1830","Chitinophagia","28.unmapped",4.45e-05,"malt","fem","exo"
"1831","Chitinophagia","18.unmapped",5.05e-05,"control","male","exo"
"1832","Chitinophagia","29.unmapped",5.82e-05,"malt","fem","exo"
"1833","Chitinophagia","25.unmapped",7.36e-05,"control","fem","exo"
"1834","Chitinophagia","28.unmapped",0.000196963,"malt","fem","exo"
"1835","Chitinophagia","26.unmapped",5.82e-05,"control","fem","exo"
"1836","Chitinophagia","18.unmapped",0.000186687,"control","male","exo"
"1837","Chitinophagia","29.unmapped",0.000200388,"malt","fem","exo"
"1838","Chitinophagia","20.unmapped",9.51e-05,"control","male","exo"
"1839","Chitinophagia","27.unmapped",0.000101907,"malt","fem","exo"
"1840","Chitinophagia","19.unmapped",0.00014815,"control","male","exo"
"1841","Chitinophagia","22.unmapped",0.000173841,"malt","male","exo"
"1842","Chitinophagia","24.unmapped",7.19e-05,"control","fem","exo"
"1843","Chitinophagia","17.unmapped",0.000184974,"control","male","exo"
"1844","Chitinophagia","23.unmapped",6.08e-05,"malt","male","exo"
"1845","Chitinophagia","21.unmapped",5.74e-05,"malt","male","exo"
