"","Class","case","fraction_total_reads","group","sex","sample"
"236","Betaproteobacteria","29.unmapped",5.22e-05,"malt","fem","exo"
"237","Betaproteobacteria","21.unmapped",0.000121603,"malt","male","exo"
"238","Betaproteobacteria","18.unmapped",8.14e-05,"control","male","exo"
"239","Betaproteobacteria","22.unmapped",7.02e-05,"malt","male","exo"
"240","Betaproteobacteria","28.unmapped",4.88e-05,"malt","fem","exo"
"241","Betaproteobacteria","24.unmapped",9.16e-05,"control","fem","exo"
"242","Betaproteobacteria","25.unmapped",5.57e-05,"control","fem","exo"
"243","Betaproteobacteria","17.unmapped",6.94e-05,"control","male","exo"
"244","Betaproteobacteria","29.unmapped",6.08e-05,"malt","fem","exo"
"245","Betaproteobacteria","22.unmapped",5.74e-05,"malt","male","exo"
"246","Betaproteobacteria","28.unmapped",4.88e-05,"malt","fem","exo"
"247","Betaproteobacteria","17.unmapped",4.8e-05,"control","male","exo"
"248","Chitinophagia","27.unmapped",8.82e-05,"malt","fem","exo"
"249","Chitinophagia","24.unmapped",7.02e-05,"control","fem","exo"
"250","Chitinophagia","18.unmapped",0.000155001,"control","male","exo"
"251","Chitinophagia","17.unmapped",0.000193538,"control","male","exo"
"252","Chitinophagia","29.unmapped",0.000156714,"malt","fem","exo"
"253","Chitinophagia","22.unmapped",0.00015757,"malt","male","exo"
"254","Chitinophagia","19.unmapped",9.59e-05,"control","male","exo"
"255","Chitinophagia","25.unmapped",8.65e-05,"control","fem","exo"
"256","Chitinophagia","21.unmapped",5.82e-05,"malt","male","exo"
"257","Chitinophagia","28.unmapped",0.00012931,"malt","fem","exo"
"258","Chitinophagia","20.unmapped",6.34e-05,"control","male","exo"
"259","Chitinophagia","26.unmapped",5.82e-05,"control","fem","exo"
"260","Chitinophagia","22.unmapped",0.00014815,"malt","male","exo"
"261","Chitinophagia","18.unmapped",0.000108758,"control","male","exo"
"262","Chitinophagia","17.unmapped",0.000113896,"control","male","exo"
"263","Chitinophagia","26.unmapped",8.56e-05,"control","fem","exo"
"264","Chitinophagia","19.unmapped",9.76e-05,"control","male","exo"
"265","Chitinophagia","28.unmapped",0.000105332,"malt","fem","exo"
"266","Chitinophagia","20.unmapped",5.14e-05,"control","male","exo"
"267","Chitinophagia","29.unmapped",0.00012246,"malt","fem","exo"
"268","Chitinophagia","27.unmapped",6.94e-05,"malt","fem","exo"
"269","Chitinophagia","21.unmapped",7.02e-05,"malt","male","exo"
"270","Chitinophagia","23.unmapped",4.54e-05,"malt","male","exo"
"271","Chitinophagia","24.unmapped",5.4e-05,"control","fem","exo"
"272","Actinomycetia","27.unmapped",0.000208952,"malt","fem","exo"
"273","Actinomycetia","20.unmapped",5.14e-05,"control","male","exo"
"274","Actinomycetia","26.unmapped",0.00025177,"control","fem","exo"
"275","Actinomycetia","24.unmapped",0.000134449,"control","fem","exo"
"276","Flavobacteriia","27.unmapped",6.77e-05,"malt","fem","exo"
"277","Betaproteobacteria","18.unmapped",0.000117321,"control","male","exo"
"278","Actinomycetia","25.unmapped",8.05e-05,"control","fem","exo"
"279","Actinomycetia","24.unmapped",0.000160996,"control","fem","exo"
"280","Actinomycetia","19.unmapped",6.17e-05,"control","male","exo"
"281","Actinomycetia","27.unmapped",0.000109614,"malt","fem","exo"
"282","Actinomycetia","20.unmapped",0.000135305,"control","male","exo"
"283","Actinomycetia","29.unmapped",5.48e-05,"malt","fem","exo"
"284","Actinomycetia","21.unmapped",0.000147294,"malt","male","exo"
"285","Actinomycetia","28.unmapped",5.4e-05,"malt","fem","exo"
"286","Actinomycetia","17.unmapped",7.79e-05,"control","male","exo"
"287","Actinomycetia","18.unmapped",7.88e-05,"control","male","exo"
"288","Actinomycetia","27.unmapped",4.2e-05,"malt","fem","exo"
"289","Alphaproteobacteria","29.unmapped",5.57e-05,"malt","fem","exo"
"290","Alphaproteobacteria","26.unmapped",4.88e-05,"control","fem","exo"
"291","Alphaproteobacteria","20.unmapped",5.91e-05,"control","male","exo"
"292","Alphaproteobacteria","25.unmapped",7.62e-05,"control","fem","exo"
"293","Alphaproteobacteria","19.unmapped",5.82e-05,"control","male","exo"
"294","Alphaproteobacteria","23.unmapped",0.000221797,"malt","male","exo"
"295","Alphaproteobacteria","27.unmapped",4.45e-05,"malt","fem","exo"
"296","Alphaproteobacteria","22.unmapped",5.74e-05,"malt","male","exo"
"297","Actinomycetia","21.unmapped",4.62e-05,"malt","male","exo"
"298","Betaproteobacteria","27.unmapped",6.77e-05,"malt","fem","exo"
"299","Betaproteobacteria","18.unmapped",0.000137018,"control","male","exo"
"300","Betaproteobacteria","27.unmapped",5.91e-05,"malt","fem","exo"
"301","Betaproteobacteria","22.unmapped",4.2e-05,"malt","male","exo"
"302","Betaproteobacteria","18.unmapped",5.99e-05,"control","male","exo"
"303","Betaproteobacteria","28.unmapped",5.22e-05,"malt","fem","exo"
"304","Betaproteobacteria","27.unmapped",7.19e-05,"malt","fem","exo"
"305","Revtraviricetes","21.unmapped",5.65e-05,"malt","male","exo"
"306","Bacilli","20.unmapped",0.002538254,"control","male","exo"
"307","Bacilli","19.unmapped",0.004726256,"control","male","exo"
"308","Bacilli","26.unmapped",0.001883138,"control","fem","exo"
"309","Bacilli","17.unmapped",0.002910771,"control","male","exo"
"310","Bacilli","25.unmapped",0.001095286,"control","fem","exo"
"311","Bacilli","22.unmapped",0.004136223,"malt","male","exo"
"312","Bacilli","18.unmapped",0.003165966,"control","male","exo"
"313","Bacilli","23.unmapped",0.000667105,"malt","male","exo"
"314","Bacilli","28.unmapped",0.003517074,"malt","fem","exo"
"315","Bacilli","24.unmapped",0.002789167,"control","fem","exo"
"316","Bacilli","27.unmapped",0.002451761,"malt","fem","exo"
"317","Bacilli","29.unmapped",0.003029805,"malt","fem","exo"
"318","Bacilli","21.unmapped",0.001326503,"malt","male","exo"
"319","Bacilli","28.unmapped",0.000579756,"malt","fem","exo"
"320","Bacilli","21.unmapped",0.000598596,"malt","male","exo"
"321","Bacilli","18.unmapped",0.000897466,"control","male","exo"
"322","Bacilli","25.unmapped",0.00051296,"control","fem","exo"
"323","Bacilli","19.unmapped",0.001383879,"control","male","exo"
"324","Bacilli","29.unmapped",0.000827245,"malt","fem","exo"
"325","Bacilli","17.unmapped",0.001240867,"control","male","exo"
"326","Bacilli","20.unmapped",0.000620862,"control","male","exo"
"327","Bacilli","23.unmapped",0.000130167,"malt","male","exo"
"328","Bacilli","26.unmapped",0.001037909,"control","fem","exo"
"329","Bacilli","22.unmapped",0.001497775,"malt","male","exo"
"330","Bacilli","24.unmapped",0.000750172,"control","fem","exo"
"331","Bacilli","27.unmapped",0.000632851,"malt","fem","exo"
"332","Bacilli","26.unmapped",0.000852935,"control","fem","exo"
"333","Bacilli","28.unmapped",0.001191198,"malt","fem","exo"
"334","Bacilli","21.unmapped",0.000759592,"malt","male","exo"
