Phylum,Class,22.unmapped,27.unmapped,21.unmapped,24.unmapped,25.unmapped,28.unmapped,29.unmapped,23.unmapped,17.unmapped,26.unmapped,18.unmapped,19.unmapped,20.unmapped
Firmicutes,Clostridia,0.000267738,0.000123644,3.19E-05,0,0.000100588,0,0.00094865,0,5.03E-05,0.000109938,5.87E-05,5.48E-05,0
Actinobacteria,Actinobacteria,4.46E-05,1.55E-05,4.26E-05,0.000273836,5.03E-05,0.000265322,0.000260114,2.69E-05,1.68E-05,1.57E-05,0,0,1.56E-05
Firmicutes,Erysipelotrichia,0.000237989,4.64E-05,0.000361829,0.000112024,0.000184412,5.31E-05,0,0.00029554,5.03E-05,0.000109938,4.40E-05,0.00010966,0.000155623
Bacteroidetes,Bacteroidia,1.49E-05,4.64E-05,0,7.47E-05,0.00031853,0.000225524,7.65E-05,0.000389575,8.38E-05,9.42E-05,0.000410883,2.74E-05,0.000248996
Firmicutes,Clostridia,7.44E-05,1.55E-05,1.06E-05,0.00133184,3.35E-05,9.29E-05,0,0,0,0,0.000190767,0.000274149,0
Firmicutes,Clostridia,0,1.55E-05,0.000117062,0.000585014,8.38E-05,7.96E-05,1.53E-05,0,1.68E-05,1.57E-05,5.87E-05,0,1.56E-05
Firmicutes,Clostridia,7.44E-05,0.000463664,0,2.49E-05,6.71E-05,0.000212258,0,0,0.00020113,0.000722453,0,8.22E-05,0.000295683
Bacteroidetes,Bacteroidia,1.49E-05,0,0.000542744,0.000124471,0.000217942,2.65E-05,0.000107106,4.03E-05,5.03E-05,0.000251288,8.80E-05,0,6.22E-05
Bacteroidetes,Bacteroidia,8.92E-05,3.09E-05,0.000244767,0.000124471,0.000385589,0,3.06E-05,1.34E-05,0.000100565,0.000219877,0.000352185,4.11E-05,0.000466868
Firmicutes,Clostridia,2.97E-05,3.09E-05,7.45E-05,0.00047299,1.68E-05,1.33E-05,4.59E-05,2.69E-05,6.70E-05,0.000157055,0.000176093,1.37E-05,0.000513555
Fibrobacteres,Fibrobacteria,1.49E-05,1.55E-05,0,0.000497884,0,0.000252056,0.00018361,0,0,0.000471165,0,0,0
Firmicutes,Erysipelotrichia,0.00010412,3.09E-05,0.00010642,0.000435648,6.71E-05,7.96E-05,0.000153008,9.40E-05,6.70E-05,7.85E-05,0.00023479,1.37E-05,7.78E-05
Firmicutes,Clostridia,0,1.55E-05,2.13E-05,7.47E-05,0.000234706,0.000198992,0.000351919,0,0.000335216,1.57E-05,0.000220116,8.22E-05,0.000155623
Firmicutes,Clostridia,4.46E-05,6.18E-05,0.000138346,0,1.68E-05,0,1.53E-05,0.000241805,8.38E-05,0.000188466,1.47E-05,0.000150782,0.000731426
Bacteroidetes,Bacteroidia,4.46E-05,1.55E-05,1.06E-05,0.000410754,8.38E-05,0.000212258,0.000214211,0.000349275,0.000234651,0,0.00023479,8.22E-05,0.000108936
